model,gene,variable,estimate,pval,sigma,contrast,FDR,label
lmekin.contrast,MARCH1,contrast,0.10847793567052262,0.21496447864949078,NA,MEDIA_RSTR - MEDIA_LTBI,0.37081372567037163,RSTR - LTBI in media
lmekin.contrast,MOGS,contrast,0.006955997880322705,0.9173409134360642,NA,TB_RSTR - TB_LTBI,0.9308312209865944,RSTR - LTBI in Mtb
lmekin.contrast,MOGS,contrast,0.04037418314040284,0.3637802015386168,NA,MEDIA_RSTR - MEDIA_LTBI,0.5456703023079252,RSTR - LTBI in media
lmekin.contrast,PARVB,contrast,0.2568926836109789,0.015654163632390493,NA,TB_RSTR - TB_LTBI,0.033754290332342,RSTR - LTBI in Mtb
lmekin.contrast,PARVB,contrast,0.2143098871249537,0.019920529314675094,NA,MEDIA_RSTR - MEDIA_LTBI,0.15272405807917572,RSTR - LTBI in media
lmekin.contrast,PDE4A,contrast,0.38044921065282356,0.003515884913267688,NA,TB_RSTR - TB_LTBI,0.009703842360618819,RSTR - LTBI in Mtb
lmekin.contrast,PDE4A,contrast,0.09260475385831919,0.35978658713682676,NA,MEDIA_RSTR - MEDIA_LTBI,0.5456703023079252,RSTR - LTBI in media
lmekin.contrast,PGK1,contrast,0.2678015000876522,0.0232949276569738,NA,TB_RSTR - TB_LTBI,0.03920365873978517,RSTR - LTBI in Mtb
lmekin.contrast,PGK1,contrast,0.11186653674385294,0.11529962400603207,NA,MEDIA_RSTR - MEDIA_LTBI,0.3299894347593208,RSTR - LTBI in media
lmekin.contrast,PNKD,contrast,0.3870805352438838,0.002756001970582121,NA,TB_RSTR - TB_LTBI,0.009703842360618819,RSTR - LTBI in Mtb
lmekin.contrast,PNKD,contrast,-0.01271523450580451,0.907019890700869,NA,MEDIA_RSTR - MEDIA_LTBI,0.9482480675509084,RSTR - LTBI in media
lmekin.contrast,POLR2J3,contrast,-0.2614584354660449,0.01269011067123056,NA,TB_RSTR - TB_LTBI,0.02824573020370673,RSTR - LTBI in Mtb
lmekin.contrast,POLR2J3,contrast,-0.16281662002292022,0.102255941919855,NA,MEDIA_RSTR - MEDIA_LTBI,0.306767825759565,RSTR - LTBI in media
lmekin.contrast,PRKACB,contrast,-0.4989752460524723,0.018442685547705975,NA,TB_RSTR - TB_LTBI,0.03534848063310312,RSTR - LTBI in Mtb
lmekin.contrast,PRKACB,contrast,-0.05231663185521542,0.756441068096911,NA,MEDIA_RSTR - MEDIA_LTBI,0.8699072283114476,RSTR - LTBI in media
lmekin.contrast,PRKCQ,contrast,-0.5240117139162087,0.04521620045781631,NA,TB_RSTR - TB_LTBI,0.06239835663178651,RSTR - LTBI in Mtb
lmekin.contrast,PRKCQ,contrast,-0.6895369680912059,0.01268803567616839,NA,MEDIA_RSTR - MEDIA_LTBI,0.125067780236517,RSTR - LTBI in media
lmekin.contrast,PTTG1IP,contrast,0.24756547233840862,0.0030653651792844393,NA,TB_RSTR - TB_LTBI,0.009703842360618819,RSTR - LTBI in Mtb
lmekin.contrast,PTTG1IP,contrast,0.0885025491483385,0.1672330879195973,NA,MEDIA_RSTR - MEDIA_LTBI,0.36775690076492856,RSTR - LTBI in media
lmekin.contrast,RAB11FIP4,contrast,-0.6030015582204675,0.011633822699665201,NA,TB_RSTR - TB_LTBI,0.02675779220922996,RSTR - LTBI in Mtb
lmekin.contrast,RAB11FIP4,contrast,-0.42051944496610105,0.02685514260768393,NA,MEDIA_RSTR - MEDIA_LTBI,0.16845498544819917,RSTR - LTBI in media
lmekin.contrast,RASGRF2,contrast,-1.3458757231270588,7.549035081028972e-4,NA,TB_RSTR - TB_LTBI,0.004340695171591659,RSTR - LTBI in Mtb
lmekin.contrast,RASGRF2,contrast,-1.053463376032308,0.0030380331477275918,NA,MEDIA_RSTR - MEDIA_LTBI,0.04743060597363983,RSTR - LTBI in media
lmekin.contrast,RASSF2,contrast,0.1016046888647215,0.27493218349936316,NA,TB_RSTR - TB_LTBI,0.3109888633025583,RSTR - LTBI in Mtb
lmekin.contrast,RASSF2,contrast,0.19977079123074384,0.05064840277150739,NA,MEDIA_RSTR - MEDIA_LTBI,0.23941208268786035,RSTR - LTBI in media
lmekin.contrast,RASSF8,contrast,0.43064843417927196,0.02052407663962052,NA,TB_RSTR - TB_LTBI,0.03827462940902205,RSTR - LTBI in Mtb
lmekin.contrast,RASSF8,contrast,-0.04589497655632292,0.8444308604478231,NA,MEDIA_RSTR - MEDIA_LTBI,0.903802352872838,RSTR - LTBI in media
lmekin.contrast,STAT1,contrast,-0.3792114769809961,0.001189905265438766,NA,TB_RSTR - TB_LTBI,0.005864533093948204,RSTR - LTBI in Mtb
lmekin.contrast,STAT1,contrast,-0.2037314185130485,0.12683876496993934,NA,MEDIA_RSTR - MEDIA_LTBI,0.3366105685740698,RSTR - LTBI in media
lmekin.contrast,STRBP,contrast,-0.38454538449539694,0.02508928046845904,NA,TB_RSTR - TB_LTBI,0.04018224561974149,RSTR - LTBI in Mtb
lmekin.contrast,STRBP,contrast,-0.26611431170451977,0.06569973349950169,NA,MEDIA_RSTR - MEDIA_LTBI,0.25184897841475645,RSTR - LTBI in media
lmekin.contrast,TAGLN,contrast,-0.03429174192308438,0.8600884143492163,NA,TB_RSTR - TB_LTBI,0.8857626953745662,RSTR - LTBI in Mtb
lmekin.contrast,TAGLN,contrast,0.14023035648474616,0.4178191659976355,NA,MEDIA_RSTR - MEDIA_LTBI,0.6133940947624862,RSTR - LTBI in media
lmekin.contrast,TIMP1,contrast,0.530100875172543,0.0018291805796325734,NA,TB_RSTR - TB_LTBI,0.007888341249665472,RSTR - LTBI in Mtb
